"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.738096292E2,4.820455043E1,1.162085910E1,4.922716806E2,1.964429855E1,1.977112885E2,1.046360959E1,8.001208274E0,8.001208274E0,0.000000000E0
5.748096294E2,4.820439066E1,1.162077869E1,4.929064999E2,1.861484146E1,1.977112885E2,1.048068439E1,8.001208274E0,8.001208274E0,0.000000000E0
5.758096305E2,4.820424644E1,1.162069955E1,4.937273331E2,1.861484146E1,1.988711395E2,1.049907856E1,8.001208274E0,8.001208274E0,0.000000000E0
5.768096311E2,4.820408981E1,1.162061971E1,4.940989640E2,1.822344208E1,1.985625458E2,1.051656711E1,8.001208274E0,8.001208274E0,0.000000000E0
5.778096312E2,4.820393338E1,1.162059521E1,4.947035359E2,1.796909904E1,1.985625458E2,1.053401265E1,8.001208274E0,8.001208274E0,0.000000000E0
5.788096319E2,4.820378475E1,1.162051985E1,4.954288430E2,1.720749474E1,1.976145935E2,1.055142770E1,8.001208274E0,8.001208274E0,0.000000000E0
5.798096331E2,4.820363430E1,1.162045454E1,4.967759571E2,1.720749474E1,1.976145935E2,1.056860068E1,1.200181241E1,1.200181241E1,0.000000000E0
5.808096346E2,4.820348891E1,1.162037636E1,4.972759535E2,1.704034615E1,1.976145935E2,1.058503105E1,1.200181241E1,1.200181241E1,0.000000000E0
5.818096343E2,4.820334986E1,1.162030139E1,4.972589365E2,1.666265678E1,1.976145935E2,1.060156185E1,1.200181241E1,1.200181241E1,0.000000000E0
5.828096350E2,4.820320716E1,1.162023882E1,4.970476157E2,1.687494278E1,1.976312714E2,1.061937301E1,1.200181241E1,1.200181241E1,0.000000000E0
5.838096355E2,4.820305236E1,1.162017706E1,4.970147282E2,1.723997498E1,1.976312714E2,1.063846836E1,8.001208274E0,8.001208274E0,0.000000000E0
5.848096370E2,4.820288674E1,1.162010897E1,4.970897720E2,1.723997498E1,1.976312714E2,1.065752274E1,8.001208274E0,8.001208274E0,0.000000000E0
5.858096375E2,4.820272461E1,1.162002573E1,4.971863206E2,1.755114365E1,1.976327057E2,1.067171569E1,8.001208274E0,8.001208274E0,0.000000000E0
5.868096387E2,4.820259899E1,1.161999178E1,4.973863136E2,1.734976006E1,1.979947357E2,1.068883429E1,8.001208274E0,8.001208274E0,0.000000000E0
5.878096393E2,4.820245170E1,1.161992456E1,4.977058551E2,1.734976006E1,1.979947357E2,1.070544280E1,8.001208274E0,8.001208274E0,0.000000000E0
